register,url,note
ancient-woodland-status,https://raw.githubusercontent.com/digital-land/ancient-woodland-collection/main/data/ancient-woodland-status.csv,
contribution-funding-status,https://raw.githubusercontent.com/digital-land/developer-contributions-collection/main/data/contribution-funding-status.csv,
contribution-purpose,https://raw.githubusercontent.com/digital-land/developer-contributions-collection/main/data/contribution-purpose.csv,
design-code-status,https://raw.githubusercontent.com/digital-land/design-code-collection/main/data/design-code-status.csv,
design-code-categories,https://raw.githubusercontent.com/digital-land/design-code-collection/main/data/design-code-category.csv,
developer-agreement-type,https://raw.githubusercontent.com/digital-land/developer-contributions-collection/main/data/developer-agreement-type.csv,
development-plan-event,,
development-plan-status,,
development-plan-type,https://raw.githubusercontent.com/digital-land/development-plan-type-collection/main/data/development-plan-type.csv,
development-policy-categories,,
document-type,https://raw.githubusercontent.com/digital-land/document-collection/main/data/document-type.csv,
listed-building-grade,https://raw.githubusercontent.com/digital-land/listed-building-collection/main/data/listed-building-grade.csv,
organisation-dataset,https://raw.githubusercontent.com/digital-land/specification/main/content/organisation-dataset.csv,this lists what data we expected each LPA to provide
ownership-status,https://raw.githubusercontent.com/digital-land/ownership-status-collection/main/data/ownership-status.csv,
permitted-development-right,,
permitted-development-right-part,,
planning-application-status,,
planning-application-type,https://raw.githubusercontent.com/digital-land/planning-application-collection/main/data/planning-application-type.csv,Not a proper csv
planning-decision,,
planning-decision-type,,
planning-permission-status,https://raw.githubusercontent.com/digital-land/planning-permission-status-collection/main/data/planning-permission-status.csv,Used by brownfield land in planning-status field
provision-reason,https://raw.githubusercontent.com/digital-land/specification/main/content/provision-reason.csv,A list of the types of reason as to why an LPA needs to publish data
article-4-direction-rule,https://raw.githubusercontent.com/digital-land/article-4-direction-collection/main/data/article-4-direction-rule.csv,