entity,name,prefix,reference,description,design-code-characteristic,notes,entry-date,start-date,end-date
640100,Character Types,design-code-rule-category,character-types,,context,,2024-03-05,,
640101,Site Context,design-code-rule-category,site-context,,context,,2024-03-05,,
640102,Site Assessment,design-code-rule-category,site-assessment,,context,,2024-03-05,,
640103,Historic Assessment,design-code-rule-category,historic-assessment,,context,,2024-03-05,,
640104,Heritage Assets,design-code-rule-category,heritage-assets,,context,,2024-03-05,,
640105,Street Network,design-code-rule-category,street-network,,movement,,2024-03-05,,
640106,Public Transport,design-code-rule-category,public-transport,,movement,,2024-03-05,,
640107,Street Hierarchy,design-code-rule-category,street-hierarchy,,movement,,2024-03-05,,
640108,Walking,design-code-rule-category,walking,,movement,,2024-03-05,,
640109,Cycling,design-code-rule-category,cycling,,movement,,2024-03-05,,
640110,Junctions & Crossings,design-code-rule-category,junctions-crossings,,movement,,2024-03-05,,
640111,Inclusive Streets,design-code-rule-category,inclusive-streets,,movement,,2024-03-05,,
640112,Car Parking,design-code-rule-category,car-parking,,movement,,2024-03-05,,
640113,Garages,design-code-rule-category,garages,,movement,,2024-03-05,,
640114,Servicing,design-code-rule-category,servicing,,movement,,2024-03-05,,
640115,Cycle Parking,design-code-rule-category,cycle-parking,,movement,,2024-03-05,,
640116,Services & Utilities,design-code-rule-category,services-utilities,,movement,,2024-03-05,,
640117,Network of Spaces,design-code-rule-category,network-of-spaces,,nature,,2024-03-05,,
640118,OS Provision,design-code-rule-category,os-provision,,nature,,2024-03-05,,
640119,"Play, Sports & Recreation",design-code-rule-category,play-sports-recreation,,nature,,2024-03-05,,
640120,Design,design-code-rule-category,design,,nature,,2024-03-05,,
640121,Working with Water,design-code-rule-category,working-with-water,,nature,,2024-03-05,,
640122,SUDs,design-code-rule-category,suds,,nature,,2024-03-05,,
640123,Flood Risk,design-code-rule-category,flood-risk,,nature,,2024-03-05,,
640124,Net Gain,design-code-rule-category,net-gain,,nature,,2024-03-05,,
640125,Biodiversity,design-code-rule-category,biodiversity,,nature,,2024-03-05,,
640126,Street Trees,design-code-rule-category,street-trees,,nature,,2024-03-05,,
640127,Density,design-code-rule-category,density,,built-form,,2024-03-05,,
640128,Whether Buildings Join,design-code-rule-category,whether-buildings-join,,built-form,,2024-03-05,,
640129,Types & Forms,design-code-rule-category,types-forms,,built-form,,2024-03-05,,
640130,Tall Buildings,design-code-rule-category,tall-buildings,,built-form,,2024-03-05,,
640131,Corners,design-code-rule-category,corners,,built-form,,2024-03-05,,
640132,Extensions,design-code-rule-category,extensions,,built-form,,2024-03-05,,
640133,Blocks,design-code-rule-category,blocks,,built-form,,2024-03-05,,
640134,Building Line,design-code-rule-category,building-line,,built-form,,2024-03-05,,
640135,Setback,design-code-rule-category,setback,,built-form,,2024-03-05,,
640136,Height,design-code-rule-category,height,,built-form,,2024-03-05,,
640137,Local Character,design-code-rule-category,local-character,,identity,,2024-03-05,,
640138,Legibility,design-code-rule-category,legibility,,identity,,2024-03-05,,
640139,Master planning,design-code-rule-category,master-planning,,identity,,2024-03-05,,
640140,Design of Buildings,design-code-rule-category,design-of-buildings,,identity,,2024-03-05,,
640141,Boundaries & Edges,design-code-rule-category,boundaries-edges,,public-spaces,,2024-03-05,,
640142,Primary Streets,design-code-rule-category,primary-streets,,public-spaces,,2024-03-05,,
640143,Local & Secondary Streets,design-code-rule-category,local-secondary-streets,,public-spaces,,2024-03-05,,
640144,Tertiary Streets,design-code-rule-category,tertiary-streets,,public-spaces,,2024-03-05,,
640145,Meeting Places,design-code-rule-category,meeting-places,,public-spaces,,2024-03-05,,
640146,Multi-functional,design-code-rule-category,multi-functional,,public-spaces,,2024-03-05,,
640147,Furniture,design-code-rule-category,furniture,,public-spaces,,2024-03-05,,
640148,Public Art,design-code-rule-category,public-art,,public-spaces,,2024-03-05,,
640149,Home Zones,design-code-rule-category,home-zones,,public-spaces,,2024-03-05,,
640150,Secured by Design,design-code-rule-category,secured-by-design,,public-spaces,,2024-03-05,,
640151,Counter Terrorism,design-code-rule-category,counter-terrorism,,public-spaces,,2024-03-05,,
640152,Efficient Land Use,design-code-rule-category,efficient-land-use,,uses,,2024-03-05,,
640153,Mix,design-code-rule-category,mix,,uses,,2024-03-05,,
640154,Active Frontage,design-code-rule-category,active-frontage,,uses,,2024-03-05,,
640155,Housing for All,design-code-rule-category,housing-for-all,,uses,,2024-03-05,,
640156,Type,design-code-rule-category,type,,uses,,2024-03-05,,
640157,Schools,design-code-rule-category,schools,,uses,,2024-03-05,,
640158,Community Facilities,design-code-rule-category,community-facilities,,uses,,2024-03-05,,
640159,Local Services,design-code-rule-category,local-services,,uses,,2024-03-05,,
640160,Space Standards,design-code-rule-category,space-standards,,homes-and-buildings,,2024-03-05,,
640161,Ceiling Heights,design-code-rule-category,ceiling-heights,,homes-and-buildings,,2024-03-05,,
640162,Plant,design-code-rule-category,plant,,homes-and-buildings,,2024-03-05,,
640163,House Type & Mix,design-code-rule-category,house-type-mix,,homes-and-buildings,,2024-03-05,,
640164,Accessibility,design-code-rule-category,accessibility,,homes-and-buildings,,2024-03-05,,
640165,"Light, Aspect & Privacy",design-code-rule-category,light-aspect-privacy,,homes-and-buildings,,2024-03-05,,
640166,Security,design-code-rule-category,security,,homes-and-buildings,,2024-03-05,,
640167,Gardens & Balconies,design-code-rule-category,gardens-balconies,,homes-and-buildings,,2024-03-05,,
640168,Energy Hierarchy,design-code-rule-category,energy-hierarchy,,resources,,2024-03-05,,
640169,Energy Efficiency,design-code-rule-category,energy-efficiency,,resources,,2024-03-05,,
640170,Neighbourhood Energy,design-code-rule-category,neighbourhood-energy,,resources,,2024-03-05,,
640171,Embodied Energy,design-code-rule-category,embodied-energy,,resources,,2024-03-05,,
640172,Construction,design-code-rule-category,construction,,resources,,2024-03-05,,
640173,MMC,design-code-rule-category,mmc,,resources,,2024-03-05,,
640174,Water,design-code-rule-category,water,,resources,,2024-03-05,,
640175,Management Plan,design-code-rule-category,management-plan,,lifespan,,2024-03-05,,
640176,Participation,design-code-rule-category,participation,,lifespan,,2024-03-05,,
640177,Community,design-code-rule-category,community,,lifespan,,2024-03-05,,
